,pref_name,station_cd,station_g_cd,station_name,post,add,lon,lat,open_ymd,close_ymd,e_status,x,y,line_name
38,北海道,1110201,1110138,長万部,049-3521,山越郡長万部町字長万部,140.37507,42.512477,,,0,1403750.7,-425124.77,JR函館本線(長万部～小樽)
39,北海道,1110202,1110202,二股,049-3501,山越郡長万部町字双葉,140.320821,42.575869,,,0,1403208.21,-425758.69,JR函館本線(長万部～小樽)
40,北海道,1110203,1110203,蕨岱,049-3503,山越郡長万部町字蕨岱,140.313353,42.626353,1904-10-15,2017-03-04,2,1403133.53,-426263.53,JR函館本線(長万部～小樽)
41,北海道,1110204,1110204,黒松内,048-0101,寿都郡黒松内町字黒松内,140.305704,42.669608,,,0,1403057.04,-426696.08,JR函館本線(長万部～小樽)
42,北海道,1110205,1110205,熱郛,048-0134,寿都郡黒松内町字白井川,140.375084,42.675653,,,0,1403750.84,-426756.53,JR函館本線(長万部～小樽)
43,北海道,1110206,1110206,目名,048-1261,磯谷郡蘭越町目名町,140.465742,42.761432,,,0,1404657.42,-427614.32,JR函館本線(長万部～小樽)
44,北海道,1110207,1110207,蘭越,048-1301,磯谷郡蘭越町蘭越町,140.52894,42.804542,,,0,1405289.4,-428045.42,JR函館本線(長万部～小樽)
45,北海道,1110208,1110208,昆布,048-1302,磯谷郡蘭越町昆布町,140.596107,42.797984,,,0,1405961.07,-427979.84,JR函館本線(長万部～小樽)
46,北海道,1110209,1110209,ニセコ,048-1512,虻田郡ニセコ町字中央通,140.684588,42.808746,,,0,1406845.88,-428087.46,JR函館本線(長万部～小樽)
47,北海道,1110210,1110210,比羅夫,044-0077,虻田郡倶知安町比羅夫,140.722615,42.84856,,,0,1407226.15,-428485.6,JR函館本線(長万部～小樽)
48,北海道,1110211,1110211,倶知安,044-0051,虻田郡倶知安町北三条西４丁目,140.745471,42.90164,,,0,1407454.71,-429016.4,JR函館本線(長万部～小樽)
49,北海道,1110212,1110212,小沢,048-2142,岩内郡共和町小沢,140.677657,42.97185,,,0,1406776.57,-429718.5,JR函館本線(長万部～小樽)
50,北海道,1110213,1110213,銀山,048-2335,余市郡仁木町銀山２丁目,140.715321,43.040888,,,0,1407153.21,-430408.88,JR函館本線(長万部～小樽)
51,北海道,1110214,1110214,然別,048-2403,余市郡仁木町然別,140.737211,43.12551,,,0,1407372.11,-431255.1,JR函館本線(長万部～小樽)
52,北海道,1110215,1110215,仁木,048-2405,余市郡仁木町字北町１丁目,140.770546,43.154091,,,0,1407705.46,-431540.91,JR函館本線(長万部～小樽)
53,北海道,1110216,1110216,余市,046-0003,余市郡余市町黒川町５丁目,140.794686,43.186558,,,0,1407946.86,-431865.58,JR函館本線(長万部～小樽)
54,北海道,1110217,1110217,蘭島,048-2562,小樽市蘭島１丁目,140.854643,43.19651,,,0,1408546.43,-431965.1,JR函館本線(長万部～小樽)
55,北海道,1110218,1110218,塩谷,048-2672,小樽市塩谷２丁目,140.924546,43.202406,,,0,1409245.46,-432024.06,JR函館本線(長万部～小樽)
56,北海道,1110219,1110219,小樽,047-0032,小樽市稲穂２丁目,140.993653,43.197172,,,0,1409936.53,-431971.72,JR函館本線(長万部～小樽)
57,北海道,1110301,1110219,小樽,047-0032,小樽市稲穂２丁目,140.993653,43.197172,,,0,1409936.53,-431971.72,JR函館本線(小樽～旭川)
58,北海道,1110302,1110302,南小樽,047-0015,小樽市住吉町,141.007883,43.186529,,,0,1410078.83,-431865.29,JR函館本線(小樽～旭川)
59,北海道,1110303,1110303,小樽築港,047-0008,小樽市築港,141.029051,43.180752,,,0,1410290.51,-431807.52,JR函館本線(小樽～旭川)
60,北海道,1110304,1110304,朝里,047-0151,小樽市朝里１丁目,141.063923,43.176868,,,0,1410639.23,-431768.68,JR函館本線(小樽～旭川)
61,北海道,1110305,1110305,銭函,047-0261,小樽市銭函２丁目,141.159868,43.143403,,,0,1411598.68,-431434.03,JR函館本線(小樽～旭川)
62,北海道,1110306,1110306,ほしみ,006-0859,札幌市手稲区手稲星置１条９丁目,141.191402,43.13373,,,0,1411914.02,-431337.3,JR函館本線(小樽～旭川)
63,北海道,1110307,1110307,星置,006-0851,札幌市手稲区星置１条３丁目,141.210856,43.132375,,,0,1412108.56,-431323.75,JR函館本線(小樽～旭川)
64,北海道,1110308,1110308,稲穂,006-0831,札幌市手稲区曙１条３丁目,141.222919,43.128115,,,0,1412229.19,-431281.15,JR函館本線(小樽～旭川)
65,北海道,1110309,1110309,手稲,006-0021,札幌市手稲区手稲本町１条４丁目,141.243785,43.120238,,,0,1412437.85,-431202.38,JR函館本線(小樽～旭川)
66,北海道,1110310,1110310,稲積公園,006-0011,札幌市手稲区富丘１条４丁目,141.257113,43.112023,,,0,1412571.13,-431120.23,JR函館本線(小樽～旭川)
67,北海道,1110311,1110311,発寒,063-0829,札幌市西区発寒９条１３丁目,141.277273,43.099819,,,0,1412772.73,-430998.19,JR函館本線(小樽～旭川)
68,北海道,1110312,1110312,発寒中央,063-0826,札幌市西区発寒十条３丁目,141.294497,43.089271,,,0,1412944.97,-430892.71,JR函館本線(小樽～旭川)
69,北海道,1110313,1110313,琴似,063-0812,札幌市西区琴似2条2丁目,141.307418,43.081599,,,0,1413074.18,-430815.99,JR函館本線(小樽～旭川)
70,北海道,1110314,1110314,桑園,060-0011,札幌市中央区北１１条西１５丁目,141.332036,43.070744,,,0,1413320.36,-430707.44,JR函館本線(小樽～旭川)
71,北海道,1110315,1110315,札幌,060-0806,札幌市北区北６条西４丁目,141.350768,43.068612,,,0,1413507.68,-430686.12,JR函館本線(小樽～旭川)
72,北海道,1110316,1110316,苗穂,060-0033,札幌市中央区北３条東１３丁目,141.377522,43.068574,,,0,1413775.22,-430685.74,JR函館本線(小樽～旭川)
73,北海道,1110317,1110317,白石,003-0029,札幌市白石区平和通3丁目北6,141.413612,43.054715,1903-04-21,,0,1414136.12,-430547.15,JR函館本線(小樽～旭川)
74,北海道,1110318,1110318,厚別,004-0055,札幌市厚別区厚別中央５条４丁目,141.46369,43.045154,,,0,1414636.9,-430451.54,JR函館本線(小樽～旭川)
75,北海道,1110319,1110319,森林公園,004-0071,札幌市厚別区厚別北１条４丁目,141.481332,43.056456,,,0,1414813.32,-430564.56,JR函館本線(小樽～旭川)
76,北海道,1110320,1110320,大麻,069-0854,江別市大麻中町,141.496925,43.072382,,,0,1414969.25,-430723.82,JR函館本線(小樽～旭川)
77,北海道,1110321,1110321,野幌,069-0813,江別市野幌町,141.52984,43.092559,,,0,1415298.4,-430925.59,JR函館本線(小樽～旭川)
78,北海道,1110322,1110322,高砂,067-0074,江別市高砂町,141.540752,43.100084,,,0,1415407.52,-431000.84,JR函館本線(小樽～旭川)
79,北海道,1110323,1110323,江別,067-0071,江別市萩ケ岡,141.55679,43.110189,,,0,1415567.9,-431101.89,JR函館本線(小樽～旭川)
80,北海道,1110324,1110324,豊幌,067-0021,江別市豊幌,141.62466,43.136446,,,0,1416246.6,-431364.46,JR函館本線(小樽～旭川)
81,北海道,1110325,1110325,幌向,069-0371,岩見沢市幌向南１条３丁目,141.655839,43.151348,,,0,1416558.39,-431513.48,JR函館本線(小樽～旭川)
82,北海道,1110326,1110326,上幌向,069-0362,岩見沢市上幌向南１条４丁目,141.715391,43.18183,,,0,1417153.91,-431818.3,JR函館本線(小樽～旭川)
83,北海道,1110327,1110327,岩見沢,068-0034,岩見沢市有明町南,141.759359,43.204201,,,0,1417593.59,-432042.01,JR函館本線(小樽～旭川)
84,北海道,1110328,1110328,峰延,072-0000,美唄市峰延,141.814673,43.264694,,,0,1418146.73,-432646.94,JR函館本線(小樽～旭川)
85,北海道,1110329,1110329,光珠内,072-0000,美唄市光珠内,141.844655,43.292658,,,0,1418446.55,-432926.58,JR函館本線(小樽～旭川)
86,北海道,1110330,1110330,美唄,072-0012,美唄市東一条南２丁目,141.862157,43.330751,,,0,1418621.57,-433307.51,JR函館本線(小樽～旭川)
87,北海道,1110331,1110331,茶志内,079-0261,美唄市茶志内町,141.87336,43.369842,,,0,1418733.6,-433698.42,JR函館本線(小樽～旭川)
88,北海道,1110332,1110332,奈井江,079-0313,空知郡奈井江町本町１区,141.889115,43.423718,,,0,1418891.15,-434237.18,JR函館本線(小樽～旭川)
89,北海道,1110333,1110333,豊沼,073-0138,砂川市豊沼町,141.901032,43.464224,,,0,1419010.32,-434642.24,JR函館本線(小樽～旭川)
90,北海道,1110334,1110334,砂川,073-0152,砂川市東２条北２丁目,141.909642,43.493468,,,0,1419096.42,-434934.68,JR函館本線(小樽～旭川)
91,北海道,1110335,1110335,滝川,073-0031,滝川市栄町４丁目,141.900807,43.555278,,,0,1419008.07,-435552.78,JR函館本線(小樽～旭川)
92,北海道,1110336,1110336,江部乙,079-0462,滝川市江部乙町西町１２丁目,141.935937,43.627564,,,0,1419359.37,-436275.64,JR函館本線(小樽～旭川)
93,北海道,1110337,1110337,妹背牛,079-0500,雨竜郡妹背牛町字妹背牛,141.966591,43.690841,,,0,1419665.91,-436908.41,JR函館本線(小樽～旭川)
94,北海道,1110338,1110338,深川,074-0001,深川市１条,142.041642,43.721021,,,0,1420416.42,-437210.21,JR函館本線(小樽～旭川)
95,北海道,1110339,1110339,納内,078-0151,深川市納内町字納内,142.130072,43.732509,,,0,1421300.72,-437325.09,JR函館本線(小樽～旭川)
96,北海道,1110340,1110340,伊納,070-8052,旭川市江丹別町春日,142.27167,43.763305,,,0,1422716.7,-437633.05,JR函館本線(小樽～旭川)
97,北海道,1110341,1110341,近文,070-0821,旭川市近文町１９丁目,142.325327,43.789193,,,0,1423253.27,-437891.93,JR函館本線(小樽～旭川)
98,北海道,1110342,1110342,旭川,070-0030,旭川市宮下通８丁目,142.357803,43.763492,,,0,1423578.03,-437634.92,JR函館本線(小樽～旭川)
99,北海道,1110401,1110138,長万部,049-3521,山越郡長万部町字長万部,140.37507,42.512477,,,0,1403750.7,-425124.77,JR室蘭本線(長万部・室蘭～苫小牧)
