line_cd,station_cd1,station_cd2,line_name,line_name_h,line_name_k,company_cd,company_name,company_name_h,company_name_k,company_name_r,company_type,company_url,e_status_x,e_status_y,has_station_data,lat,lon,rr_cd,station_cd1,station_cd2,zoom
11402,1140228,1140229,JR身延線,JR身延線,ミノブセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.3921632386,138.532397033,11,1140228,1140229,10
11402,1140229,1140230,JR身延線,JR身延線,ミノブセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.3921632386,138.532397033,11,1140229,1140230,10
11402,1140230,1140231,JR身延線,JR身延線,ミノブセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.3921632386,138.532397033,11,1140230,1140231,10
11402,1140231,1140232,JR身延線,JR身延線,ミノブセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.3921632386,138.532397033,11,1140231,1140232,10
11402,1140232,1140233,JR身延線,JR身延線,ミノブセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.3921632386,138.532397033,11,1140232,1140233,10
11402,1140233,1140234,JR身延線,JR身延線,ミノブセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.3921632386,138.532397033,11,1140233,1140234,10
11402,1140234,1140235,JR身延線,JR身延線,ミノブセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.3921632386,138.532397033,11,1140234,1140235,10
11402,1140235,1140236,JR身延線,JR身延線,ミノブセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.3921632386,138.532397033,11,1140235,1140236,10
11402,1140236,1140237,JR身延線,JR身延線,ミノブセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.3921632386,138.532397033,11,1140236,1140237,10
11402,1140237,1140238,JR身延線,JR身延線,ミノブセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.3921632386,138.532397033,11,1140237,1140238,10
11402,1140238,1140239,JR身延線,JR身延線,ミノブセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.3921632386,138.532397033,11,1140238,1140239,10
11411,1141101,1141102,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.6624711001,137.468491977,11,1141101,1141102,9
11411,1141102,1141103,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.6624711001,137.468491977,11,1141102,1141103,9
11411,1141103,1141104,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.6624711001,137.468491977,11,1141103,1141104,9
11411,1141104,1141105,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.6624711001,137.468491977,11,1141104,1141105,9
11411,1141105,1141106,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.6624711001,137.468491977,11,1141105,1141106,9
