100101,甲府市南口町,,0,35.643496,JR身延線,138.577274,1140236,,400-0863,山梨県,false,1140236,1140236,南甲府,1385772.74,-356434.96
100104,甲府市丸の内１丁目,,0,35.667054,JR身延線,138.569015,1140239,,400-0031,山梨県,false,1140239,1131131,甲府,1385690.15,-356670.54
100103,甲府市城東１丁目,,0,35.662264,JR身延線,138.578845,1140238,,400-0861,山梨県,false,1140238,1140238,金手,1385788.45,-356622.64
100106,名古屋市中区金山１丁目,,0,35.142928,JR中央本線(名古屋～塩尻),136.900517,1141102,,460-0022,愛知県,false,1141102,1141102,金山,1369005.17,-351429.28
100105,名古屋市中村区名駅１丁目４番,,0,35.170694,JR中央本線(名古屋～塩尻),136.881637,1141101,,450-0002,愛知県,false,1141101,1141101,名古屋,1368816.37,-351706.94
100108,名古屋市千種区内山町３丁目,,0,35.170168,JR中央本線(名古屋～塩尻),136.930665,1141104,,464-0075,愛知県,false,1141104,1141104,千種,1369306.65,-351701.68
100107,名古屋市中区千代田町５丁目,,0,35.156416,JR中央本線(名古屋～塩尻),136.917436,1141103,,460-0012,愛知県,false,1141103,1141103,鶴舞,1369174.36,-351564.16
100110,名古屋市守山区新守町２６８,,0,35.207283,JR中央本線(名古屋～塩尻),136.951207,1141106,,463-0071,愛知県,false,1141106,1141106,新守山,1369512.07,-352072.83
100109,名古屋市東区東大曽根町,,0,35.191508,JR中央本線(名古屋～塩尻),136.937161,1141105,,461-0022,愛知県,false,1141105,1141105,大曽根,1369371.61,-351915.08
100112,愛知県春日井市上条町一丁目5162,,0,35.243139,JR中央本線(名古屋～塩尻),136.985307,1141108,,486-0833,愛知県,false,1141108,1141108,春日井,1369853.07,-352431.39
100111,春日井市松新町６丁目,,0,35.22982,JR中央本線(名古屋～塩尻),136.956285,1141107,,486-0931,愛知県,false,1141107,1141107,勝川,1369562.85,-352298.2
100114,春日井市高蔵寺町３丁目,,0,35.26434,JR中央本線(名古屋～塩尻),137.043766,1141110,,487-0013,愛知県,false,1141110,1141110,高蔵寺,1370437.66,-352643.4
100113,春日井市神領町字向拝,,0,35.256234,JR中央本線(名古屋～塩尻),137.010006,1141109,,486-0821,愛知県,false,1141109,1141109,神領,1370100.06,-352562.34
100116,多治見市諏訪町神田,,0,35.302955,JR中央本線(名古屋～塩尻),137.101011,1141112,,507-0044,岐阜県,false,1141112,1141112,古虎渓,1371010.11,-353029.55
100115,春日井市玉野町,,0,35.278015,JR中央本線(名古屋～塩尻),137.080981,1141111,,487-0004,愛知県,false,1141111,1141111,定光寺,1370809.81,-352780.15
100118,土岐市泉町久尻,,0,35.359708,JR中央本線(名古屋～塩尻),137.182082,1141114,,509-5142,岐阜県,false,1141114,1141114,土岐市,1371820.82,-353597.08
100117,多治見市音羽町２丁目,,0,35.334774,JR中央本線(名古屋～塩尻),137.120294,1141113,,507-0037,岐阜県,false,1141113,1141113,多治見,1371202.94,-353347.74
100120,瑞浪市釜戸町東大島,,0,35.411103,JR中央本線(名古屋～塩尻),137.30501,1141116,,509-6472,岐阜県,false,1141116,1141116,釜戸,1373050.1,-354111.03
100119,瑞浪市寺河戸町,,0,35.369081,JR中央本線(名古屋～塩尻),137.252017,1141115,,509-6121,岐阜県,false,1141115,1141115,瑞浪,1372520.17,-353690.81
